"Freq [GHz]","dB(S(1,1)) []"
3,-13.128957850805
3.0175,-13.2467843446185
3.035,-13.3791437879865
3.0525,-13.5266816158437
3.07,-13.6901079399992
3.0875,-13.8702067526157
3.105,-14.0678468944291
3.1225,-14.2839952103299
3.14,-14.5197324338351
3.1575,-14.7762725011639
3.175,-15.054986211047
3.1925,-15.3574304413852
3.21,-15.6853845430124
3.2275,-16.0408961062251
3.245,-16.4263391172938
3.2625,-16.8444887146689
3.28,-17.2986185170584
3.2975,-17.7926291526674
3.315,-18.3312207136382
3.3325,-18.920128325559
3.35,-19.5664505129597
3.3675,-20.2791175902885
3.385,-21.0695776862547
3.4025,-21.9528326781068
3.42,-22.949059114861
3.4375,-24.0862523565031
3.455,-25.4047562622817
3.4725,-26.9654779324229
3.49,-28.8657492565955
3.5075,-31.2715378214126
3.525,-34.4771416366841
3.5425,-38.8264272780924
3.56,-41.6071880292538
3.5775,-37.7084144747191
3.595,-33.6668915150056
3.6125,-30.723449986045
3.63,-28.4923435734639
3.6475,-26.7168172916881
3.665,-25.2518795377203
3.6825,-24.0110988025403
3.7,-22.9395478147394
3.7175,-22.0003681692079
3.735,-21.1677046748501
3.7525,-20.4227522190097
3.77,-19.7514189454977
3.7875,-19.1428783185178
3.805,-18.5886352944999
3.8225,-18.0819030869369
3.84,-17.6171747764135
3.8575,-17.1899212177026
3.875,-16.7963731849772
3.8925,-16.4333611326818
3.91,-16.0981952499424
3.9275,-15.7885742581683
3.945,-15.5025150794259
3.9625,-15.2382979031207
3.98,-14.9944227784227
3.9975,-14.7695749472755
4.015,-14.5625968850371
4.0325,-14.3724655445403
4.05,-14.1982736765222
4.0675,-14.039214372033
4.085,-13.8945681719858
4.1025,-13.7636922367001
4.12,-13.6460111787112
4.1375,-13.5410092454249
4.155,-13.4482236015602
4.1725,-13.3672385098258
4.19,-13.2976802456103
4.2075,-13.2392126102871
4.225,-13.1915329300009
4.2425,-13.1543684439544
4.26,-13.1274729993194
4.2775,-13.1106239797357
4.295,-13.1036194015456
4.3125,-13.1062751168486
4.33,-13.1184220655031
4.3475,-13.1399035195659
4.365,-13.1705722635407
4.3825,-13.2102876523393
4.4,-13.2589124861719
4.4175,-13.3163096377993
4.435,-13.3823383628644
4.4525,-13.4568502185978
4.47,-13.5396845103889
4.4875,-13.6306631800336
4.505,-13.7295850446437
4.5225,-13.8362192923053
4.54,-13.9502981411228
4.5575,-14.0715085744188
4.575,-14.1994830794501
4.5925,-14.3337893438792
4.61,-14.4739189082937
4.6275,-14.6192748403136
4.645,-14.7691585932858
4.6625,-14.9227563477835
4.68,-15.0791253141874
4.6975,-15.2371807043127
4.715,-15.3956843589837
4.7325,-15.5532363369407
4.75,-15.7082711041564
4.7675,-15.8590602668382
4.785,-16.0037239964652
4.8025,-16.1402533062489
4.82,-16.2665450431033
4.8375,-16.3804507483942
4.855,-16.4798393437234
4.8725,-16.5626719295178
4.89,-16.6270849904022
4.9075,-16.6714762830578
4.925,-16.6945860696691
4.9425,-16.695565623005
4.96,-16.6740254340037
4.9775,-16.6300574107333
4.995,-16.5642283334708
5.0125,-16.4775453676842
5.03,-16.3713978075454
5.0475,-16.2474817510316
5.065,-16.1077156687827
5.0825,-15.9541547469308
5.1,-15.7889107008241
5.1175,-15.6140819041811
5.135,-15.4316966240241
5.1525,-15.2436702752735
5.17,-15.0517761415574
5.1875,-14.8576280332357
5.205,-14.6626728402952
5.2225,-14.468190793467
5.24,-14.2753013576208
5.2575,-14.0849729409491
5.275,-13.8980349276782
5.2925,-13.7151908729122
5.31,-13.5370320007984
5.3275,-13.3640504044068
5.345,-13.1966515525973
5.3625,-13.0351658680515
5.38,-12.8798592576824
5.3975,-12.7309425592375
5.415,-12.5885799234821
5.4325,-12.4528961864721
5.45,-12.3239833066078
5.4675,-12.2019059507894
5.485,-12.0867063164264
5.5025,-11.9784082737976
5.52,-11.8770209081285
5.5375,-11.7825415340077
5.555,-11.6949582472906
5.5725,-11.6142520719944
5.59,-11.5403987522339
5.6075,-11.4733702321885
5.625,-11.413135860534
5.6425,-11.3596633497424
5.66,-11.31291951515
5.6775,-11.2728708136662
5.695,-11.2394836974
5.7125,-11.2127247932463
5.73,-11.1925609155384
5.7475,-11.1789589151706
5.765,-11.171885365067
5.7825,-11.1713060784606
5.8,-11.1771854531058
5.8175,-11.1894856312435
5.835,-11.2081654618372
5.8525,-11.2331792483066
5.87,-11.2644752617037
5.8875,-11.3019939960618
5.905,-11.345666139576
5.9225,-11.3954102324834
5.94,-11.4511299802094
5.9575,-11.5127111888231
5.975,-11.5800182895135
5.9925,-11.6528904202043
6.01,-11.7311370363058
6.0275,-11.8145330298905
6.045,-11.9028133484646
6.0625,-11.995667122421
6.08,-12.0927313359234
6.0975,-12.1935841112676
6.115,-12.2977377237293
6.1325,-12.404631524389
6.15,-12.5136250238174
6.1675,-12.6239914801235
6.185,-12.7349124391973
6.2025,-12.8454737886477
6.22,-12.9546640015633
6.2375,-13.0613753482455
6.255,-13.1644089239608
6.2725,-13.2624843530762
6.29,-13.354254954938
6.3075,-13.4383289643241
6.325,-13.5132970651608
6.3425,-13.5777660115269
6.36,-13.6303974912003
6.3775,-13.6699506843956
6.395,-13.6953262707931
6.4125,-13.7056090580338
6.43,-13.7001060718109
6.4475,-13.6783769702047
6.465,-13.6402540803916
6.4825,-13.5858501850623
6.5,-13.5155533057402
6.5175,-13.4300089707387
6.535,-13.3300916179209
6.5525,-13.2168676866535
6.57,-13.0915534793903
6.5875,-12.9554709834203
6.605,-12.8100045798043
6.6225,-12.6565610296076
6.64,-12.4965344431599
6.6575,-12.3312772272069
6.675,-12.1620773618391
6.6925,-11.9901418423193
6.71,-11.8165857536249
6.7275,-11.6424262234353
6.745,-11.4685804008282
6.7625,-11.2958666035838
6.78,-11.1250078364755
6.7975,-10.956636979649
6.815,-10.7913030593108
6.8325,-10.6294781276255
6.85,-10.4715643855589
6.8675,-10.3179012762367
6.885,-10.168772355181
6.9025,-10.0244118075289
6.92,-9.88501053222414
6.9375,-9.7507217510141
6.955,-9.62166612788065
6.9725,-9.49793640421639
6.99,-9.37960156839494
7.0075,-9.2667105868665
7.025,-9.15929572878133
7.0425,-9.05737551839865
7.06,-8.96095734994993
7.0775,-8.87003979878945
7.095,-8.78461466102404
7.1125,-8.70466875169475
7.13,-8.63018548921822
7.1475,-8.5611462913488
7.165,-8.4975318055029
7.1825,-8.43932299396786
7.2,-8.38650209233973
7.2175,-8.33905345752262
7.235,-8.29696431978503
7.2525,-8.26022545170597
7.27,-8.22883176534957
7.2875,-8.20278284767062
7.305,-8.18208344296539
7.3225,-8.16674389012548
7.34,-8.15678052151942
7.3575,-8.15221602949995
7.375,-8.15307980580616
7.3925,-8.15940825848621
7.41,-8.17124511039792
7.4275,-8.1886416828432
7.445,-8.21165716744796
7.4625,-8.24035888900464
7.48,-8.27482256164276
7.4975,-8.31513254037517
7.515,-8.36138206977873
7.5325,-8.41367353129858
7.55,-8.47211869040703
7.5675,-8.53683894459345
7.585,-8.60796557289575
7.6025,-8.68563998739703
7.62,-8.77001398678204
7.6375,-8.86125001165735
7.655,-8.95952140085642
7.6725,-9.06501264734089
7.69,-9.17791965152174
7.7075,-9.2984499687997
7.725,-9.42682304677702
7.7425,-9.56327044581917
7.76,-9.70803603430396
7.7775,-9.86137614680108
7.795,-10.0235596893408
7.8125,-10.1948681705352
7.83,-10.3755956301966
7.8475,-10.5660484277084
7.865,-10.7665448400217
7.8825,-10.9774144028361
7.9,-11.1989969070219
7.9175,-11.4316409340291
7.935,-11.6757017767567
7.9525,-11.9315385433378
7.97,-12.1995101769126
7.9875,-12.4799700400834
8.005,-12.7732586025181
8.0225,-13.0796936269118
8.04,-13.3995570636946
8.0575,-13.7330776290806
8.075,-14.0804077451378
8.0925,-14.4415931584076
8.11,-14.816533127536
8.1275,-15.2049286014785
8.145,-15.606215356039
8.1625,-16.0194787431067
8.18,-16.4433467741892
8.1975,-16.8758591302782
8.215,-17.314312048236
8.2325,-17.7550838827457
8.25,-18.1934547427987
8.2675,-18.6234470977725
8.285,-19.0377326839259
8.3025,-19.4276714942816
8.32,-19.7835627425084
8.3375,-20.0951803426208
8.355,-20.3526185266236
8.3725,-20.5473784842319
8.39,-20.6735051780759
8.4075,-20.7284930877242
8.425,-20.7136907937158
8.4425,-20.6340724500387
8.46,-20.4974515626705
8.4775,-20.3133797815066
8.495,-20.0920215855186
8.5125,-19.8432279335199
8.53,-19.5759118500698
8.5475,-19.2977226641441
8.565,-19.0149549954035
8.5825,-18.7326116931066
8.6,-18.4545497302576
8.6175,-18.1836578459892
8.635,-17.9220342292636
8.6525,-17.6711475249039
8.67,-17.431974346281
8.6875,-17.2051122643626
8.705,-16.9908701961949
8.7225,-16.7893393288386
8.74,-16.6004479595751
8.7575,-16.4240033990238
8.775,-16.259723655252
8.7925,-16.1072611464069
8.81,-15.9662202503116
8.8275,-15.836170121171
8.845,-15.7166538924322
8.8625,-15.6071951365579
8.88,-15.507302258372
8.8975,-15.4164713492309
8.915,-15.3341879156923
8.9325,-15.2599278109444
8.95,-15.1931576336795
8.9675,-15.1333348121847
8.985,-15.0799075570094
9.0025,-15.0323148402577
9.02,-14.9899865405262
9.0375,-14.9523438774002
9.055,-14.9188002461581
9.0725,-14.8887625501289
9.09,-14.8616331134048
9.1075,-14.836812238997
9.125,-14.8137014559938
9.1425,-14.7917074731664
9.16,-14.7702468255981
9.1775,-14.7487511657067
9.195,-14.7266731115859
9.2125,-14.703492525738
9.23,-14.6787230585071
9.2475,-14.651918755885
9.265,-14.6226805041821
9.2825,-14.590662067576
9.3,-14.5555754715483
9.3175,-14.5171954975203
9.335,-14.4753630821589
9.3525,-14.4299874578442
9.37,-14.3810469261297
9.3875,-14.3285882197364
9.405,-14.2727244758112
9.4225,-14.2136319085132
9.44,-14.1515453273949
9.4575,-14.0867526952216
9.475,-14.0195889518429
9.4925,-13.9504293480217
9.51,-13.8796825348602
9.5275,-13.8077836421343
9.545,-13.7351875550114
9.5625,-13.6623625664695
9.58,-13.5897845456522
9.5975,-13.5179317235899
9.615,-13.4472801599736
9.6325,-13.3782999201087
9.65,-13.3114519612705
9.6675,-13.2471857032216
9.685,-13.1859372388635
9.7025,-13.1281281276623
9.72,-13.0741647060666
9.7375,-13.0244378449102
9.755,-12.9793230829406
9.7725,-12.9391810673291
9.79,-12.9043582355372
9.8075,-12.8751876775684
9.825,-12.8519901228476
9.8425,-12.8350750012942
9.86,-12.8247415332089
9.8775,-12.8212798071052
9.895,-12.8249718083701
9.9125,-12.8360923644553
9.93,-12.8549099740558
9.9475,-12.881687488287
9.965,-12.9166826110983
9.9825,-12.9601481839065
10,-13.0123322155045
